date,step,decision_number,reasoning,rationale,model,status
2020-07-01,0,1,"{""rationale"":""Buy strong MACD/RSI, sell weak, hold ambiguous."",""actions"":{""AAPL"":1,""AMGN"":1,""AXP"":-1,""BA"":1,""CAT"":1,""CRM"":1,""CSCO"":1,""CVX"":-1,""DIS"":-1,""GS"":1,""HD"":1,""HON"":0,""IBM"":-1,""INTC"":-1,""JNJ"":-1,""JPM"":-1,""KO"":-1,""MCD"":-1,""MMM"":1,""MRK"":0,""MSFT"":1,""NKE"":1,""PG"":1,""TRV"":1,""UNH"":1,""V"":1,""VZ"":-1,""WMT"":-1}}","Buy strong MACD/RSI, sell weak, hold ambiguous.",openai/gpt-oss-120b,success
2020-07-09,5,2,"{""rationale"":""Buy strong MACD stocks, sell negatives, hold neutral."",""actions"":{""AAPL"":0,""AMGN"":1,""AXP"":-1,""BA"":1,""CAT"":1,""CRM"":1,""CSCO"":0,""CVX"":-1,""DIS"":-1,""GS"":0,""HD"":1,""HON"":-1,""IBM"":-1,""INTC"":-1,""JNJ"":-1,""JPM"":-1,""KO"":-1,""MCD"":-1,""MMM"":-1,""MRK"":-1,""MSFT"":1,""NKE"":0,""PG"":1,""TRV"":0,""UNH"":0,""V"":0,""VZ"":-1,""WMT"":0}}","Buy strong MACD stocks, sell negatives, hold neutral.",openai/gpt-oss-120b,success
2020-07-16,10,3,"{""rationale"":""Buy strong MACD/RSI, sell negatives, hold others."",""actions"":{""AAPL"":1,""AMGN"":1,""AXP"":-1,""BA"":0,""CAT"":1,""CRM"":0,""CSCO"":0,""CVX"":-1,""DIS"":0,""GS"":0,""HD"":1,""HON"":0,""IBM"":-1,""INTC"":-1,""JNJ"":1,""JPM"":0,""KO"":-1,""MCD"":0,""MMM"":0,""MRK"":0,""MSFT"":1,""NKE"":0,""PG"":1,""TRV"":1,""UNH"":0,""V"":0,""VZ"":-1,""WMT"":1}}","Buy strong MACD/RSI, sell negatives, hold others.",openai/gpt-oss-120b,success
2020-07-23,15,4,"{""rationale"":""Buy strong MACD, hold weak signals; adjust positions modestly."",""actions"":{""AAPL"":0.0,""AMGN"":0.8,""AXP"":-0.5,""BA"":0.0,""CAT"":0.7,""CRM"":0.6,""CSCO"":0.0,""CVX"":-0.4,""DIS"":0.0,""GS"":0.5,""HD"":0.9,""HON"":0.6,""IBM"":0.4,""INTC"":0.0,""JNJ"":0.5,""JPM"":0.0,""KO"":0.0,""MCD"":0.6,""MMM"":0.0,""MRK"":0.0,""MSFT"":0.9,""NKE"":0.0,""PG"":0.7,""TRV"":0.5,""UNH"":0.8,""V"":0.5,""VZ"":0.0,""WMT"":0.4}}","Buy strong MACD, hold weak signals; adjust positions modestly.",openai/gpt-oss-120b,success
2020-07-30,20,5,"{""rationale"":""Buy strong MACD/RSI, sell weak MACD, hold neutral."",""actions"":{""AAPL"":0.0,""AMGN"":0.2,""AXP"":-0.2,""BA"":-0.5,""CAT"":0.3,""CRM"":0.1,""CSCO"":0.0,""CVX"":-0.1,""DIS"":0.0,""GS"":-0.2,""HD"":0.5,""HON"":0.2,""IBM"":0.0,""INTC"":-0.8,""JNJ"":0.0,""JPM"":0.0,""KO"":0.0,""MCD"":0.4,""MMM"":-0.2,""MRK"":0.0,""MSFT"":0.1,""NKE"":-0.1,""PG"":0.5,""TRV"":0.0,""UNH"":0.2,""V"":0.0,""VZ"":0.0,""WMT"":0.0}}","Buy strong MACD/RSI, sell weak MACD, hold neutral.",openai/gpt-oss-120b,success
2020-08-06,25,6,"{""rationale"":""Apply MACD strength, RSI, CCI; buy strong positives, sell weak negatives, hold neutral."",""actions"":{""AAPL"":0.5,""AMGN"":-0.5,""AXP"":-0.3,""BA"":-0.7,""CAT"":0.4,""CRM"":0.6,""CSCO"":0.2,""CVX"":-0.4,""DIS"":0.5,""GS"":-0.2,""HD"":0.6,""HON"":0.3,""IBM"":0.3,""INTC"":-0.7,""JNJ"":0.3,""JPM"":0.0,""KO"":0.2,""MCD"":0.5,""MMM"":-0.3,""MRK"":0.3,""MSFT"":0.6,""NKE"":0.2,""PG"":0.5,""TRV"":0.0,""UNH"":0.6,""V"":0.2,""VZ"":0.2,""WMT"":0.2}}","Apply MACD strength, RSI, CCI; buy strong positives, sell weak negatives, hold neutral.",openai/gpt-oss-120b,success
2020-08-13,30,7,"{""rationale"":""MACD and RSI drive strong buys; negative MACD or overbought RSI trigger sells."",""actions"":{""AAPL"":1.0,""AMGN"":-1.0,""AXP"":0.5,""BA"":-0.5,""CAT"":0.8,""CRM"":0.9,""CSCO"":-0.2,""CVX"":0.3,""DIS"":1.0,""GS"":0.6,""HD"":1.0,""HON"":0.7,""IBM"":0.4,""INTC"":-1.0,""JNJ"":0.2,""JPM"":0.5,""KO"":0.3,""MCD"":1.0,""MMM"":0.4,""MRK"":0.3,""MSFT"":0.9,""NKE"":0.8,""PG"":1.0,""TRV"":0.2,""UNH"":1.0,""V"":0.5,""VZ"":0.2,""WMT"":0.2}}",MACD and RSI drive strong buys; negative MACD or overbought RSI trigger sells.,openai/gpt-oss-120b,success
2020-08-20,35,8,"{""rationale"":""MACD-driven signals: strong positives buy, negatives sell, near zero hold."",""actions"":{""AAPL"":1.0,""AMGN"":-0.5,""AXP"":0.5,""BA"":-0.5,""CAT"":0.5,""CRM"":1.0,""CSCO"":-0.5,""CVX"":0.0,""DIS"":1.0,""GS"":0.0,""HD"":1.0,""HON"":1.0,""IBM"":0.5,""INTC"":-0.5,""JNJ"":0.5,""JPM"":0.5,""KO"":0.5,""MCD"":1.0,""MMM"":0.5,""MRK"":0.5,""MSFT"":0.5,""NKE"":1.0,""PG"":1.0,""TRV"":0.0,""UNH"":1.0,""V"":0.5,""VZ"":0.5,""WMT"":0.5}}","MACD-driven signals: strong positives buy, negatives sell, near zero hold.",openai/gpt-oss-120b,success
2020-08-27,40,9,"{""rationale"":""Adjusted positions using MACD trend and RSI levels; buy on strong MACD, sell on negative MACD or overbought."",""actions"":{""AAPL"":-0.5,""AMGN"":0.2,""AXP"":0.2,""BA"":-0.5,""CAT"":0.4,""CRM"":-0.5,""CSCO"":-0.5,""CVX"":-0.5,""DIS"":0.4,""GS"":0.2,""HD"":0.4,""HON"":0.4,""IBM"":0.2,""INTC"":-0.5,""JNJ"":0.3,""JPM"":0.2,""KO"":0.1,""MCD"":0.4,""MMM"":0.3,""MRK"":0.3,""MSFT"":0.4,""NKE"":0.4,""PG"":0.3,""TRV"":-0.2,""UNH"":0.3,""V"":0.4,""VZ"":0.2,""WMT"":0.2}}","Adjusted positions using MACD trend and RSI levels; buy on strong MACD, sell on negative MACD or overbought.",openai/gpt-oss-120b,success
2020-09-03,45,10,"{""rationale"":""Buy strong MACD stocks, sell weak MACD, hold others."",""actions"":{""AAPL"":0.5,""AMGN"":0.0,""AXP"":0.0,""BA"":-0.5,""CAT"":0.0,""CRM"":0.5,""CSCO"":-0.5,""CVX"":-0.5,""DIS"":0.0,""GS"":0.0,""HD"":0.5,""HON"":0.0,""IBM"":0.0,""INTC"":-0.5,""JNJ"":0.0,""JPM"":0.0,""KO"":0.0,""MCD"":0.5,""MMM"":0.0,""MRK"":0.0,""MSFT"":0.5,""NKE"":0.0,""PG"":0.0,""TRV"":0.0,""UNH"":0.0,""V"":0.5,""VZ"":0.0,""WMT"":0.0}}","Buy strong MACD stocks, sell weak MACD, hold others.",openai/gpt-oss-120b,success
